"Habit","Observation_ID","Observation_Label","PlotPlant_ID","AcTaxon","Genus","specific_epithet","subsp","var","Module","Submodule","Field","f1","f2","f3","Shrub","s1","s2","s3","Subcanopy","scf","scs1","scs2","scs3","sct1","sct2","sct3","Tree","tf","ts1","ts2","ts3","t1","t2","t3","t4","diam10cmCount","hourstamp","Transect_Position","BA","Biomass","Fmin","Fmax","Smin","Smax","SCmin","SCmax","Tmin","Tmax","Original_Field","Original_Shrub","Original_Subcanopy","Original_Tree","Dmin","Dmax","Hmin","Hmax","Simple"
"HA2","GRR.GJS.2015.21","DSP RF3","GRR.GJS.2015.21.NEAll.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"NE","All",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090214.19,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.NWAll.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"NW","All",0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082614.04,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2020.16","s20200710.02","GRR.GJS.2020.16.AllAll.Persicaria.amphibia..","Persicaria amphibia","Persicaria","amphibia",NA,NA,"All","All",2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2020071410.07,0,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,0.6,"Forb"
"HA2","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.SEA.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"SE","A",0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082609,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.NEAll.Lemna.minor..","Lemna minor","Lemna","minor",NA,NA,"NE","All",0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082516,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HA2","GRR.GJS.2017.8","es20170731.02","GRR.GJS.2017.8.AllAll.Lemna.turionifera..","Lemna turionifera","Lemna","turionifera",NA,NA,"All","All",1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2017080413.08,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.SWA.Lactuca...","Lactuca","Lactuca",NA,NA,NA,"SW","A",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090315.39,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.24","S12060401","GRR.GJS.2012.24.AllAll.Cirsium...","Cirsium","Cirsium",NA,NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101212,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.23","Page Creek Fen","GRR.GJS.2015.23.SEAll.Cardamine...","Cardamine","Cardamine",NA,NA,NA,"SE","All",1.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021614.1,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.27","DSP ER1","GRR.GJS.2015.27.NEA.Pilea...","Pilea","Pilea",NA,NA,NA,"NE","A",0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082413,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.30","DSP RR3","GRR.GJS.2015.30.SWAll.Amaranthus...","Amaranthus","Amaranthus",NA,NA,NA,"SW","All",0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021114.44,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.26","DSP ER2","GRR.GJS.2015.26.NWAll.Persicaria...","Persicaria","Persicaria",NA,NA,NA,"NW","All",0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082416,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.30","DSP RR3","GRR.GJS.2015.30.NWAll.Persicaria...","Persicaria","Persicaria",NA,NA,NA,"NW","All",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021115.04,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.2011.GJS.12","Barry County - Houghton swamp","GRR.2011.GJS.12.AllAll.Bidens...","Bidens","Bidens",NA,NA,NA,"All","All",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2011072713,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.23","S12053101","GRR.GJS.2012.23.AllAll.Lycopus...","Lycopus","Lycopus",NA,NA,NA,"All","All",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101212,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.2011.GJS.12","Barry County - Houghton swamp","GRR.2011.GJS.12.AllAll.Symphyotrichum...","Symphyotrichum","Symphyotrichum",NA,NA,NA,"All","All",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2011072615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.23","Page Creek Fen","GRR.GJS.2015.23.SEAll.Ranunculus...","Ranunculus","Ranunculus",NA,NA,NA,"SE","All",1.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021614.11,0,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.70","S12061201","GRR.GJS.2012.70.AllAll.Viola...","Viola","Viola",NA,NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012102510,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.70","S12061201","GRR.GJS.2012.70.AllAll.-Asteraceae-...","-Asteraceae-","-Asteraceae-",NA,NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012102510,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.30","DSP RR3","GRR.GJS.2015.30.SWAll.Persicaria...","Persicaria","Persicaria",NA,NA,NA,"SW","All",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021114.43,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.25","S12060402","GRR.GJS.2012.25.AllAll.Solidago...","Solidago","Solidago",NA,NA,NA,"All","All",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101212,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.24","S12060401","GRR.GJS.2012.24.AllAll.Lathyrus...","Lathyrus","Lathyrus",NA,NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101212,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2016.59","2016MI045005","GRR.GJS.2016.59.AllAll.Symphyotrichum.firmum..","Symphyotrichum puniceum","Symphyotrichum","firmum",NA,NA,"All","All",92.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016111413.46,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.26","DSP ER2","GRR.GJS.2015.26.SWAll.Persicaria...","Persicaria","Persicaria",NA,NA,NA,"SW","All",0.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082416,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.23","Page Creek Fen","GRR.GJS.2015.23.NWAll.Persicaria...","Persicaria","Persicaria",NA,NA,NA,"NW","All",1.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021614.27,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2015.27","DSP ER1","GRR.GJS.2015.27.SWAll.Pilea...","Pilea","Pilea",NA,NA,NA,"SW","All",0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082414,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2019.12","s20190820.03","GRR.GJS.2019.12.AllAll.Symphyotrichum...","Symphyotrichum","Symphyotrichum",NA,NA,NA,"All","All",8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019101109.59,0,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,0.5,"Forb"
"HF","GRR.GJS.2019.11","s20190820.02","GRR.GJS.2019.11.AllAll.Bidens...","Bidens","Bidens",NA,NA,NA,"All","All",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019101109.38,0,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,0.5,"Forb"
"HF","GRR.GJS.2015.30","DSP RR3","GRR.GJS.2015.30.SEAll.Persicaria...","Persicaria","Persicaria",NA,NA,NA,"SE","All",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016021114.17,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.24","S12060401","GRR.GJS.2012.24.AllAll.Lycopus...","Lycopus","Lycopus",NA,NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101212,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2012.24","S12060401","GRR.GJS.2012.24.AllAll.Packera...","Packera","Packera",NA,NA,NA,"All","All",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012101216,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF","GRR.GJS.2016.59","2016MI045005","GRR.GJS.2016.59.AllAll.Mentha.canadensis..","Mentha arvensis","Mentha","canadensis",NA,NA,"All","All",1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016111413.51,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.NWAll.Conyza.canadensis..","Erigeron canadensis","Conyza","canadensis",NA,NA,"NW","All",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090316.06,0,NA,0,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2018.3","gs20180816.01","GRR.GJS.2018.3.AllAll.Pilea.pumila..","Pilea pumila","Pilea","pumila",NA,NA,"All","All",41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018082413.36,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.SEAll.Lepidium.campestre..","Lepidium campestre","Lepidium","campestre",NA,NA,"SE","All",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090315.12,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2014.40","W14090802","GRR.GJS.2014.40.AllAll.Impatiens.capensis..","Impatiens capensis","Impatiens","capensis",NA,NA,"All","All",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2014091610,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2014.40","W14090802","GRR.GJS.2014.40.AllAll.Bidens.comosa..","Bidens tripartita","Bidens","comosa",NA,NA,"All","All",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2014091610,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.21","DSP RF3","GRR.GJS.2015.21.SWA.Impatiens.capensis..","Impatiens capensis","Impatiens","capensis",NA,NA,"SW","A",15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090310.36,0,NA,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2019.12","s20190820.03","GRR.GJS.2019.12.AllAll.Bidens.frondosa..","Bidens frondosa","Bidens","frondosa",NA,NA,"All","All",8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019101109.58,0,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,0.5,"Forb"
"HF1","GRR.GJS.2017.23","es20170823.03","GRR.GJS.2017.23.AllAll.Bidens.frondosa..","Bidens frondosa","Bidens","frondosa",NA,NA,"All","All",1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2017083009.08,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.22","DSP RF2","GRR.GJS.2015.22.SEA.Impatiens.capensis..","Impatiens capensis","Impatiens","capensis",NA,NA,"SE","A",0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082816.5,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,0.5,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2019.13","s20190820.04","GRR.GJS.2019.13.AllAll.Impatiens.capensis..","Impatiens capensis","Impatiens","capensis",NA,NA,"All","All",14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2019101110.37,0,NA,NA,1,1.5,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,1,2,"Forb"
"HF1","GRR.GJS.2018.3","gs20180816.01","GRR.GJS.2018.3.AllAll.Campanulastrum.americanum..","Campanulastrum americanum","Campanulastrum","americanum",NA,NA,"All","All",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018082414.34,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2014.39","W14090801","GRR.GJS.2014.39.AllAll.Bidens.comosa..","Bidens tripartita","Bidens","comosa",NA,NA,"All","All",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2014091609,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.NEAll.Erysimum.cheiranthoides..","Erysimum cheiranthoides","Erysimum","cheiranthoides",NA,NA,"NE","All",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090314.54,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.SWA.Torilis.japonica..","Torilis japonica","Torilis","japonica",NA,NA,"SW","A",0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090315.38,0,NA,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.NEAll.Bartonia.virginica..","Bartonia virginica","Bartonia","virginica",NA,NA,"NE","All",0.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082516,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2018.3","gs20180816.01","GRR.GJS.2018.3.AllAll.Bidens.frondosa..","Bidens frondosa","Bidens","frondosa",NA,NA,"All","All",9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018082409.05,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.NWAll.Pilea.fontana..","Pilea fontana","Pilea","fontana",NA,NA,"NW","All",0.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082614.03,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2016.32","2016MI067010","GRR.GJS.2016.32.AllAll.Pilea.pumila..","Pilea pumila","Pilea","pumila",NA,NA,"All","All",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2016103115.33,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2020.13","s20200611.01","GRR.GJS.2020.13.AllAll.Impatiens.capensis..","Impatiens capensis","Impatiens","capensis",NA,NA,"All","All",3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2020063010.46,0,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,0.5,"Forb"
"HF1","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.NWAll.Lepidium.campestre..","Lepidium campestre","Lepidium","campestre",NA,NA,"NW","All",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090316.09,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.25","DSP RR1","GRR.GJS.2015.25.NWA.Lepidium.campestre..","Lepidium campestre","Lepidium","campestre",NA,NA,"NW","A",0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015090316.05,0,NA,0,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2018.4","gs20180816.02","GRR.GJS.2018.4.AllAll.Pilea.pumila..","Pilea pumila","Pilea","pumila",NA,NA,"All","All",50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2018082414.41,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.20","DSP RF1","GRR.GJS.2015.20.NEAll.Pilea.fontana..","Pilea fontana","Pilea","fontana",NA,NA,"NE","All",0.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082516,0,NA,0,0.1,0.25,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,"Forb"
"HF1","GRR.GJS.2015.28","DSP ER3","GRR.GJS.2015.28.SWA.Conyza.canadensis..","Erigeron canadensis","Conyza","canadensis",NA,NA,"SW","A",0.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2015082512,0,NA,0,0.5,1,NA,NA,NA,NA,NA,NA,0.5,0,0,0,NA,NA,NA,NA,"Forb"
